 wait,sum,asum,max,swap,total
0.00000,0.888694E-1,0.00000,0.862589E-3,0.840432E-1,0.173775
0.00000,0.529862E-1,0.00000,0.402867E-3,0.671088E-1,0.120498
0.00000,0.924704E-1,0.00000,0.864697E-3,0.756669E-1,0.169002
0.00000,0.870628E-1,0.00000,0.797657E-3,0.752836E-1,0.163144
0.00000,0.501135E-1,0.00000,0.436658E-3,0.823672E-1,0.132917
0.00000,0.822914E-1,0.00000,0.903765E-3,0.979235E-1,0.181119
0.00000,0.967018E-1,0.00000,0.856155E-3,0.799237E-1,0.177482
0.00000,0.972031E-1,0.00000,0.885876E-3,0.777236E-1,0.175813
